Job Title,Company Name,Location,Link
कथाका कीताबहरु छपाईका लागी दर भाउ पत्र आह्वान सम्बन्धमा ।,Community Development Centre (CDC),Doti,['https://www.jobsnepal.com/kathaka-katabhara-chhapaiika-lga-thara-bhau-patara-aahavana-samabnathhama-132814']
Short Term: To strengthen marketing skills of Business Development Service (BDS) Officers of selected Savings and Credit Cooperatives (SACCOS),Deloitte,"Gandaki Province, Bagmati Province, Lumbini Province, Koshi Pradesh",['https://www.jobsnepal.com/short-term-to-strengthen-marketing-skills-of-business-development-service-bds-officers-of-selected-savings-and-credit-cooperatives-saccos-132813']
"Short-Term Technical Assistance (STTA): To provide technical support for coordination, management, and organization Maya Devi Trail Run event in Lumbini",Deloitte,Lumbini Province,['https://www.jobsnepal.com/short-term-technical-assistance-stta-to-provide-technical-support-for-coordination-management-and-organization-maya-devi-trail-run-event-in-lumbini-132812']
Vacancy Announcement for Various Positions,NNSWA,"Surkhet, Kailali, Kanchanpur, Jajarkot",['https://www.jobsnepal.com/vacancy-announcement-for-various-positions-132811']
Expression of Interest for Consultancy Services for Survey and Preparation of the Detailed Engineering Study & Design Report,dZi Foundation,Lalitpur,['https://www.jobsnepal.com/expression-of-interest-for-consultancy-services-for-survey-and-preparation-of-the-detailed-engineering-study-design-report-132810']
Request for Application (RFA),The Asia Foundation,Madhesh Province,['https://www.jobsnepal.com/request-for-application-rfa-132809']
"Nursing, HA with Public Health / Admin Finance Officer",Village Development and Save the    Environment Forum (VDSEF) Nepal Kalikot,Kalikot,['https://www.jobsnepal.com/nursing-ha-with-public-health-admin-finance-officer-132808']
Call for Proposal – Land Use Planning Consultancy,Habitat Nepal,"Nepal, Sudurpashchim Province",['https://www.jobsnepal.com/call-for-proposal-land-use-planning-consultancy-132807']
Senior Medical Officer (Re-Vacancy),International Nepal Fellowship,Banke,['https://www.jobsnepal.com/senior-medical-officer-re-vacancy-132805']
Request for Applications (RFA) For Educational Landscape Study of Madhesh and Lumbini Province,The Asia Foundation,"Madhesh Province, Lumbini Province",['https://www.jobsnepal.com/request-for-applications-rfa-for-educational-landscape-study-of-madhesh-and-lumbini-province-132804']
Revenue Specialist,Deloitte Consulting Overseas Projects LLC,"Butwal, Lumbini Province",['https://www.jobsnepal.com/revenue-specialist-132803']
Request for Full Application,Deloitte,Kathmandu,['https://www.jobsnepal.com/request-for-full-application-132802']
कथाका कीताबहरु छपाईका लागी दर भाउ पत्र आह्वान सम्बन्धमा ।,Community Development Centre (CDC),Doti,['https://www.jobsnepal.com/kathaka-katabhara-chhapaiika-lga-thara-bhau-patara-aahavana-samabnathhama-132814']
